IsSender,StrContent,StrTime,keywords,emoji
0,我们只是平平无奇的歪果仁而已,2024-10-06 19:37:34,"平平, 无奇, 歪, 果仁",
1,考研不是还没开始吗,2024-10-06 19:37:57,考研,
0,12月就考了,2024-10-06 19:38:10,考,
0,"""范艺佳"" 撤回了一条消息",2024-10-06 19:38:18,"范艺佳, 撤回",
1,还没开始考[旺柴],2024-10-06 19:38:56,考,[旺柴]
0,哈哈哈哈,2024-10-06 19:39:01,哈哈哈哈,
0,工程师好找工作呀,2024-10-06 19:39:07,"工程师, 好找, 工作",
0,我找实习天天翻各种招聘软件，就属工程师吃香了,2024-10-06 19:39:41,"找, 实习, 翻, 招聘, 软件, 属, 工程师, 吃香",
1,考研计算机挺难的，能过线就能上学,2024-10-06 19:41:04,"考研, 计算机, 挺难, 过线, 上学",
0,希望🙏🏻🙏🏻🙏🏻,2024-10-06 19:41:59,希望,
0,谢谢你,2024-10-06 19:42:00,谢谢,
1,在你背后,2024-10-08 17:01:23,背后,
0,怪吓人的,2024-10-08 17:22:53,"怪, 吓人",
1,学习太认真了,2024-10-08 17:24:50,"学习, 认真",
1,不看手机,2024-10-08 17:24:56,"不看, 手机",
0,哈哈哈哈,2024-10-08 18:06:16,哈哈哈哈,
0,其实学的时候真的想一拳把电脑打穿,2024-10-08 18:07:10,"其实, 学, 真的, 一拳, 电脑, 穿",
0,你晚上吃啥,2024-10-08 18:07:43,吃,
1,回去做饭吃,2024-10-08 18:22:56,"回去, 做饭吃",
1,冰箱里的鱼快过期了,2024-10-08 18:23:04,"冰箱, 鱼, 快, 过期",
0,好好好,2024-10-08 18:24:36,好好,
0,别吃坏肚子了,2024-10-08 18:24:51,"别吃坏, 肚子",
1,应该没事,2024-10-08 18:29:09,没事,
1,你吃啥,2024-10-08 18:29:21,吃,
0,意面,2024-10-08 18:31:14,"意, 面",
0,我昨天炒了意面酱,2024-10-08 18:31:28,"炒, 意, 面酱",
1,番茄吗,2024-10-08 18:34:47,番茄,
0,彩椒牛肉碎,2024-10-08 18:35:07,"彩椒, 牛肉, 碎",
1,我一般吃超市现成的,2024-10-08 18:35:13,"吃, 超市, 现成",
0,没加番茄,2024-10-08 18:35:14,"没加, 番茄",
0,超市现成的很难吃耶,2024-10-08 18:35:27,"超市, 现成, 难吃, 耶",
1,而且很容易坏,2024-10-08 18:35:48,"容易, 坏",
0,他老加罗勒叶,2024-10-08 18:35:51,"老加, 罗勒, 叶",
0,很骚,2024-10-08 18:35:55,很骚,
0,不喜欢,2024-10-08 18:36:00,喜欢,
0,很好吃的好吧,2024-10-08 18:36:24,好吃,
1,有多好吃,2024-10-08 18:37:03,好吃,
1,你描述一下[破涕为笑],2024-10-08 18:37:11,描述,[破涕为笑]
0,你吃了没,2024-10-08 18:37:17,吃,
0,没吃坚持20分钟和我回去吃,2024-10-08 18:37:31,"吃, 坚持, 分钟, 回去, 吃",
1,我快走回家了,2024-10-08 18:37:49,"快, 回家",
0,怎么荒郊野岭的感觉,2024-10-08 18:38:21,"荒郊, 野岭",
1,这边就是村,2024-10-08 18:40:53,村,
1,villers les nancy,2024-10-08 18:41:17,"villers, les, nancy",
1,已经不算nancy市了,2024-10-08 18:41:25,"不算, nancy, 市",
0,哈哈哈哈哈,2024-10-08 18:43:02,哈哈哈,
0,注意安全,2024-10-08 18:43:07,注意安全,
0,你哪里买的鱼,2024-10-08 18:47:05,"买, 鱼",
1,没事这边都挺安全的,2024-10-08 18:47:11,"没事, 安全",
1,在match买的,2024-10-08 18:47:17,"match, 买",
0,巴沙？,2024-10-08 18:47:28,巴沙,
1,应该是黑鱼吧,2024-10-08 18:47:48,黑鱼,
0,居然有黑鱼,2024-10-08 18:47:59,"居然, 黑鱼",
1,match海鲜挺多的，学生卡还打九折,2024-10-08 18:48:01,"match, 海鲜, 学生, 卡, 九折",
0,我也想吃,2024-10-08 18:48:17,吃,
0,长什么样子,2024-10-08 18:48:33,"长, 样子",
0,bon appétit!,2024-10-08 18:50:01,"bon, app, tit",
1,我还买过大鱿鱼腿，但是回去缩水很严重[捂脸],2024-10-08 18:50:16,"买, 鱿鱼, 腿, 回去, 缩水, 严重",[捂脸]
0,生命体征维持餐,2024-10-08 19:34:13,"生命, 体征, 维持, 餐",
1,蟹棒老演员了[捂脸],2024-10-08 19:43:39,"蟹, 棒, 演员",[捂脸]
1,我冰箱里一堆,2024-10-08 19:43:45,"冰箱, 一堆",
